NC_045512.2,6nur|A|0,29903,779,13789,16125,1,0.0
NC_045512.2,5c8u|D|0,29903,453,18040,19398,1,0.0
NC_045512.2,5c8u|B|0,29903,453,18040,19398,1,0.0
NC_045512.2,5x58|C|1,29903,419,22334,23590,2,0.0
NC_045512.2,5x58|B|1,29903,419,22334,23590,2,0.0
NC_045512.2,5x58|A|1,29903,419,22334,23590,2,0.0
NC_045512.2,6ack|B|1,29903,417,22334,23584,2,0.0
NC_045512.2,6ack|A|1,29903,417,22334,23584,2,0.0
NC_045512.2,6acj|B|1,29903,417,22334,23584,2,0.0
NC_045512.2,6acj|A|1,29903,417,22334,23584,2,0.0
NC_045512.2,6acg|B|1,29903,417,22334,23584,2,0.0
NC_045512.2,6acg|A|1,29903,417,22334,23584,2,0.0
NC_045512.2,6nb7|C|4,29903,417,22346,23590,2,0.0
NC_045512.2,6nb6|C|4,29903,418,22346,23590,2,0.0
NC_045512.2,6nb7|A|4,29903,414,22349,23590,2,0.0
NC_045512.2,6nb6|A|4,29903,414,22349,23590,2,0.0
NC_045512.2,2gt7|B|0,29903,302,10055,10960,2,0.0
NC_045512.2,6cs2|C|5,29903,300,24104,25003,2,0.0
NC_045512.2,6cs2|A|5,29903,300,24104,25003,2,0.0
NC_045512.2,6cs2|B|6,29903,297,24107,24997,2,0.0
NC_045512.2,6nb6|A|7,29903,297,24107,24997,2,0.0
NC_045512.2,6nb7|C|7,29903,296,24110,24997,2,0.0
NC_045512.2,6nb7|B|9,29903,296,24110,24997,2,0.0
NC_045512.2,6nb7|A|7,29903,296,24110,24997,2,0.0
NC_045512.2,6nb6|C|7,29903,296,24110,24997,2,0.0
NC_045512.2,4mm3|B|0,29903,316,4955,5899,2,0.0
NC_045512.2,6nb6|B|8,29903,293,24119,24997,2,0.0
NC_045512.2,6ack|C|5,29903,288,24110,24973,2,0.0
NC_045512.2,6ack|B|3,29903,288,24110,24973,2,0.0
NC_045512.2,6ack|A|3,29903,288,24110,24973,2,0.0
NC_045512.2,6acj|C|5,29903,288,24110,24973,2,0.0
NC_045512.2,6acj|B|3,29903,288,24110,24973,2,0.0
NC_045512.2,6acj|A|3,29903,288,24110,24973,2,0.0
NC_045512.2,6acg|C|5,29903,288,24110,24973,2,0.0
NC_045512.2,6acg|B|3,29903,288,24110,24973,2,0.0
NC_045512.2,6acg|A|3,29903,288,24110,24973,2,0.0
NC_045512.2,6cs0|C|6,29903,290,24107,24976,2,0.0
NC_045512.2,6cs0|B|6,29903,290,24107,24976,2,0.0
NC_045512.2,6cs0|A|6,29903,290,24107,24976,2,0.0
NC_045512.2,2gt7|A|1,29903,256,10202,10969,2,4.65e-173
NC_045512.2,5x58|A|3,29903,275,24104,24928,2,9.15e-173
NC_045512.2,5x58|C|3,29903,274,24107,24928,2,5.33e-172
NC_045512.2,5x58|B|3,29903,274,24107,24928,2,5.33e-172
NC_045512.2,6nb6|B|4,29903,235,22346,23053,2,2.36e-116
NC_045512.2,6nb7|B|4,29903,234,22349,23053,2,1.31e-115
NC_045512.2,6jyt|B|1,29903,164,16441,16932,1,1.07e-110
